TransactionID,Date,AccountType,TransactionType,Category,Amount,Balance,PaymentMode,CustomerSegment,FraudFlag
1,01-01-2023,Savings,Credit,Groceries,120068,16750,UPI,Retail,Yes
2,02-01-2023,Current,Debit,Rent,145359,264540,Net Banking,Retail,No
3,03-01-2023,Credit,Debit,EMI,119216,100390,UPI,Corporate,No
4,04-01-2023,Savings,Debit,EMI,132038,199151,Debit Card,SME,No
5,05-01-2023,Current,Debit,Rent,75523,400540,Cash,SME,No
6,06-01-2023,Credit,Credit,Salary,71518,417904,Credit Card,Retail,No
7,07-01-2023,Savings,Credit,Investment,77550,202968,Credit Card,SME,No
8,08-01-2023,Current,Credit,Shopping,27040,15585,Debit Card,Corporate,No
9,09-01-2023,Credit,Credit,Groceries,136269,285771,UPI,SME,No
10,10-01-2023,Credit,Debit,Rent,100660,261469,Net Banking,Corporate,No
11,11-01-2023,Credit,Debit,Rent,142412,123917,Debit Card,SME,No
12,12-01-2023,Savings,Debit,Shopping,14500,84031,Cash,SME,No
13,13-01-2023,Credit,Credit,Shopping,20377,259177,Net Banking,Corporate,Yes
14,14-01-2023,Savings,Debit,Shopping,116846,290832,Cash,Retail,No
15,15-01-2023,Savings,Credit,Utilities,24091,459877,Net Banking,Corporate,No
16,16-01-2023,Savings,Credit,Groceries,84354,267925,Debit Card,Corporate,No
17,17-01-2023,Savings,Debit,Investment,100367,478327,Net Banking,Corporate,No
18,18-01-2023,Credit,Credit,Groceries,132325,315264,Debit Card,Retail,No
19,19-01-2023,Credit,Credit,Salary,127204,194934,Cash,SME,No
20,20-01-2023,Savings,Debit,Groceries,36086,257208,Cash,Retail,No
21,21-01-2023,Savings,Debit,Salary,87212,199599,Credit Card,SME,Yes
22,22-01-2023,Current,Debit,Rent,5237,176243,Debit Card,Corporate,No
23,23-01-2023,Savings,Debit,Shopping,3042,149688,Credit Card,Corporate,No
24,24-01-2023,Savings,Credit,Rent,16694,338926,Credit Card,Corporate,No
25,25-01-2023,Current,Debit,EMI,16867,383397,Net Banking,Retail,No
26,26-01-2023,Savings,Credit,Utilities,83659,282004,UPI,Corporate,No
27,27-01-2023,Current,Debit,Groceries,52452,89537,Net Banking,Corporate,No
28,28-01-2023,Savings,Credit,Shopping,19233,255536,UPI,Corporate,Yes
29,29-01-2023,Credit,Credit,Salary,102688,489984,Cash,SME,No
30,30-01-2023,Savings,Credit,EMI,37444,387859,Credit Card,Corporate,No
31,31-01-2023,Current,Debit,Utilities,38043,122825,Cash,SME,No
32,01-02-2023,Credit,Debit,Investment,43233,103901,Cash,Corporate,No
33,02-02-2023,Credit,Credit,Utilities,42933,446563,Credit Card,Corporate,No
34,03-02-2023,Savings,Credit,Utilities,125780,232369,Cash,Retail,No
35,04-02-2023,Credit,Debit,EMI,99619,163940,Net Banking,Retail,No
36,05-02-2023,Current,Debit,EMI,147694,129513,Debit Card,Corporate,Yes
37,06-02-2023,Savings,Debit,Shopping,18547,466185,Credit Card,SME,No
38,07-02-2023,Savings,Debit,Groceries,118719,314516,Credit Card,SME,No
39,08-02-2023,Current,Credit,Investment,97621,95073,Net Banking,SME,No
40,09-02-2023,Savings,Credit,Investment,89369,16398,Net Banking,Corporate,No
41,10-02-2023,Savings,Debit,Groceries,41770,498487,UPI,SME,No
42,11-02-2023,Credit,Credit,EMI,149580,153603,Debit Card,Retail,No
