House Size,House Price
1500,350000
1800,400000
2000,450000
2200,475000
2500,525000
2800,575000
3000,600000
3200,650000
3500,700000
4000,750000
4200,775000
4500,825000
4800,875000
5000,900000
5200,950000
5500,1000000
5800,1050000
6000,1100000
6200,1150000
6500,1200000
6800,1250000
7000,1300000
7500,1400000
8000,1500000
8500,1600000
9000,1700000
9500,1800000
10000,1900000
10500,2000000
11000,2100000
11500,2200000
12000,2300000
12500,2400000
13000,2500000
13500,2600000
14000,2700000
14500,2800000
15000,2900000
15500,3000000
16000,3100000
16500,3200000
17000,3300000
17500,3400000
18000,3500000
18500,3600000
19000,3700000
19500,3800000
20000,3900000
20500,4000000
21000,4100000
